Period,Receipts,Outlays,Deficit/Surplus (-),Borrowing from the Public,Reduction of Operating Cash,By Other Means
05/09/11,"r174,936","r232,577","57,641","68,143","-13,159","2,657"
06/09/11,"249,658","292,738","43,080","19,948","-17,365","40,497"
07/09/11,"159,063","288,439","129,376","15,877","69,808","43,691"
08/09/11,"r169,246","r303,388","134,143","268,934","22,687","-157,469"
09/09/11,"240,153","r302,903","r62,750","104,251","-13,601","-26,080"
10/09/11,"163,072","261,539","98,466","132,149","-41,156","7,473"
11/09/11,"152,402","289,704","137,302","134,758","11,641","-9,097"
12/09/11,"239,963","325,930","85,967","59,058","1,868","25,041"
01/09/12,"234,319","r261,726","r27,407","124,724","-72,859","-24,453"
02/09/12,"103,413","r335,090","r231,677","150,351","96,053","-14,722"
03/09/12,"171,215","r369,372","r198,157","123,237","19,062","55,858"
04/09/12,"318,807","259,690","-59,117","70,178","-123,139","-6,156"
05/09/12,"180,713","305,348","124,636","89,621","54,251","-19,236"
06/09/12,"260,177","319,919","59,741","38,400","20,949",391
07/09/12,"184,585","254,190","69,604","80,903",935,"-12,233"
08/09/12,"178,860","369,393","190,533","150,747","60,364","-20,577"
09/09/12,"261,566","r186,386","r-75,180","-1,878","-55,325","-17,817"
10/09/12,"184,316","304,311","119,995","142,335","-14,520","-7,820"
11/11/12,"161,730","333,841","172,112","142,218","51,019","-21,125"
12/12/12,"r269,508","r270,699","r1,191","29,338","-43,774","15,627"
01/13/13,"272,225","r269,340","r-2,886","-20,938","-27,527","45,582"
02/13/13,"122,815","326,354","203,539","261,952","38,497","-96,910"
03/01/13,"186,018","292,548","106,530","95,355","2,599","8,576"
04/13/13,"406,723","293,834","-112,889","27,899","-134,711","-6,077"
05/01/13,"197,182","335,914","138,732","-46,263","179,182","5,814"
06/01/13,"286,627","170,126","-116,501","1,107","-100,176","-17,432"
07/01/13,"200,030","r297,627","97,597","12,220","25,165","60,210"
08/01/13,"185,370","r333,275","r147,905","49,404","83,558","14,961"
09/01/13,"r301,469","r226,355","-75,114","7,392","-62,251","-20,211"
10/01/13,"198,927","r289,514","r90,586","204,141","5,385","-117,933"
11/01/13,"182,453","317,679","135,226","93,153","49,568","-7,495"
12/01/13,"285,041","231,821","-53,220","73,643","-128,966","2,102"
01/01/14,"295,997","r306,247","r10,250","-48,518","73,826","-14,887"
02/14/14,"144,349","337,880","193,532","183,562","42,544","-32,574"
03/14/14,"215,846","r252,741","r36,895","126,952","-96,159","6,100"
04/14/14,"414,237","307,383","-106,853","-115,417","-6,154","14,717"
05/14/14,"199,889","329,860","129,971","34,692","119,449","-24,170"
06/14/14,"323,646","253,127","-70,519","34,376","-110,406","5,511"
07/14/14,"214,493","r309,113","r94,621","79,006","12,062","3,525"
08/14/14,"194,248","322,925","128,677","80,884","78,573","-30,748"
09/14/14,"r351,245","r245,441","r-105,803","51,099","-109,637","-47,272"
10/14/14,"212,719","334,432","121,713","74,090","40,899","6,724"
11/14/14,"191,436","248,254","56,818","64,849","9,132","-17,163"
12/14/14,"335,327","r333,463","r-1,864","101,553","-115,182","11,761"
01/14/15,"306,742","r321,738","14,996","-36,839","66,638","-12,255"
02/15/15,"139,388","r331,747","192,359","88,293","121,885","-17,851"
03/15/15,"234,187","287,105","52,918","15,315","-65,155","102,758"
04/15/15,"471,801","r315,092","r-156,709","-36,024","-173,785","53,100"
05/15/15,"212,386","r296,454","r84,068",545,"74,922","8,601"
06/15/15,"342,933","r292,447","r-50,487","20,862","-55,393","-15,956"
07/15/15,"225,493","374,680","149,187","58,193","44,358","46,636"
08/15/15,"210,837","r275,248","r64,412","-16,187","78,195","2,412"
09/15/15,"r365,451","r274,580","r-90,871","2,892","-66,929","-26,834"
10/15/15,"211,046","r347,604","r136,558","-55,989","175,824","16,714"
11/15/15,"204,968","r269,517","64,549","524,796","-230,381","-229,863"
12/15/15,"349,631","364,075","14,444","83,393","-80,174","11,224"
